timestamp,front_m,back_m,left_m,right_m,up_m,zrange_m
66869,,0.762,2.245,,,0.299
66919,,0.762,2.234,0.904,,0.3
66969,1.409,0.779,2.234,0.904,,0.297
67019,1.409,0.779,2.246,0.951,,0.298
67069,,0.807,2.246,0.951,,0.297
67119,,0.807,2.259,,,0.297
67169,,0.837,2.259,,,0.295
67219,,0.837,2.243,1.084,,0.298
67269,,0.873,2.243,1.084,,0.298
67319,,0.873,2.249,1.141,,0.297
67369,,0.91,2.249,1.141,,0.302
67419,,0.91,2.245,1.177,,0.299
67469,,0.94,2.245,1.177,,0.299
67519,,0.94,2.237,1.189,,0.304
67569,,0.98,2.237,1.189,,0.302
67619,,0.98,2.229,1.191,,0.303
67669,,1.013,2.229,1.191,,0.302
67719,,1.013,2.229,1.175,,0.3
67769,,1.046,2.229,1.175,,0.3
67819,,1.046,2.235,,,0.299
67869,,1.073,2.235,,,0.299
67919,,1.073,2.231,0.256,,0.297
67969,,1.103,2.231,0.256,,0.299
68019,,1.103,2.231,0.227,,0.298
68069,,1.138,2.231,0.227,,0.299
68119,,1.138,2.221,0.227,,0.3
68169,,1.167,2.221,0.227,,0.302
68219,,1.167,2.226,0.229,,0.301
68269,,1.202,2.226,0.229,,0.302
68319,,1.202,2.228,0.23,,0.3
68369,,1.23,2.228,0.23,,0.304
68419,,1.23,2.224,0.232,,0.302
68469,,1.263,2.224,0.232,,0.3
68519,,1.263,2.22,0.228,,0.299
68569,,1.292,2.22,0.228,,0.3
68619,,1.292,2.217,0.232,,0.304
68669,,1.321,2.217,0.232,,0.3
68719,,1.321,2.241,0.231,,0.302
68769,,1.351,2.241,0.231,,0.301
68819,,1.351,2.229,0.232,,0.301
68869,,1.386,2.229,0.232,,0.3
68919,,1.386,2.218,0.228,,0.299
68969,,1.417,2.218,0.228,,0.3
69019,,1.417,2.233,0.232,,0.299
69069,,1.46,2.233,0.232,,0.299
69119,,1.46,2.226,0.23,,0.299
69169,,1.484,2.226,0.23,,0.302
69219,,1.484,2.215,0.228,,0.303
69269,,1.519,2.215,0.228,,0.301
69319,,1.519,2.234,0.231,,0.3
69369,,1.551,2.234,0.231,,0.301
69419,,1.551,2.224,0.229,,0.301
69469,,1.576,2.224,0.229,,0.301
69519,,1.576,2.232,0.23,,0.301
69569,,1.612,2.232,0.23,,0.299
69619,,1.612,2.233,0.231,,0.298
69669,,1.643,2.233,0.231,,0.299
69719,,1.643,2.212,0.232,,0.3
69769,,1.66,2.212,0.232,,0.298
69819,,1.66,2.231,0.236,,0.299
69869,,1.711,2.231,0.236,,0.299
69919,,1.711,2.217,0.239,,0.297
69969,,1.737,2.217,0.239,,0.3
70019,,1.737,2.23,0.236,,0.298
70069,,1.767,2.23,0.236,,0.298
70119,,1.767,2.204,0.24,,0.299
70169,,1.793,2.204,0.24,,0.299
70219,,1.793,2.209,0.243,,0.301
70269,,1.819,2.209,0.243,,0.303
70319,,1.819,2.197,0.241,,0.301
70369,,1.843,2.197,0.241,,0.303
70419,,1.843,2.197,0.245,,0.301
70469,,1.887,2.197,0.245,,0.299
70519,,1.887,2.179,0.248,,0.3
70569,,1.919,2.179,0.248,,0.299
70619,,1.919,2.178,0.246,,0.301
70669,,1.947,2.178,0.246,,0.306
70719,,1.947,2.17,0.252,,0.299
70769,,1.961,2.17,0.252,,0.303
70819,,1.961,2.157,0.252,,0.303
70869,,2.0,2.157,0.252,,0.3
70919,,2.0,2.172,0.25,,0.3
70969,,2.025,2.172,0.25,,0.301
71019,,2.025,2.148,0.258,,0.3
71069,,,2.148,0.258,,0.302
71119,,,2.142,0.255,,0.299
71169,,2.088,2.142,0.255,,0.299
71219,,2.088,2.124,0.258,,0.299
71269,,2.118,2.124,0.258,,0.298
71319,,2.118,2.121,0.254,,0.297
71369,,,2.121,0.254,,0.298
71419,,,2.128,0.258,,0.295
71469,,2.185,2.128,0.258,,0.294
71519,,2.185,2.107,0.262,,0.297
71569,,2.21,2.107,0.262,,0.299
71619,,2.21,2.114,0.264,,0.296
71669,,2.242,2.114,0.264,,0.299
71719,,2.242,2.09,0.261,,0.301
71769,,2.281,2.09,0.261,,0.301
71819,,2.281,2.088,0.265,,0.302
71869,,,2.088,0.265,,0.305
71919,,,2.09,0.268,,0.305
71969,,2.342,2.09,0.268,,0.306
